,sms,label
2755,We r outside already.,0
5124,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",0
3751,Why are u up so early?,0
1717,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,1
3706,Aight do you still want to get money,0
5060,"Sorry, I'll call you  later. I am in meeting sir.",0
5366,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611,1
5534,Ok which your another number,0
1669,Very hurting n meaningful lines ever: \I compromised everything for my love,0
1509,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,0
109,Dont worry. I guess he's busy.,0
4520,Hi good mornin.. Thanku wish u d same..,0
2463,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",0
4684,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",0
2072,That is wondarfull song,0
2406,One of best dialogue in cute reltnship..!! \Wen i Die,0
5037,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,0
1650,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,0
1047,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",1
4347,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,0
2570,From 5 to 2 only my work timing.,0
3429,You've always been the brainy one.,0
1432,Thanks for ve lovely wisheds. You rock,0
5344,When you guys planning on coming over?,0
5239,"Jay wants to work out first, how's 4 sound?",0
3393,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,0
4182,"Sorry, I'll call later in meeting",0
1397,Then we wait 4 u lor... No need 2 feel bad lar...,0
3153,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1
1738,K go and sleep well. Take rest:-).,0
3571,"Yup, leaving right now, be back soon",0
1075,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,0
3813,Can. Dunno wat to get 4 her...,0
4734,Oh k:)after that placement there ah?,0
308,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1
742,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,0
5483,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,0
3443,Yes but I don't care cause I know its there!,0
3033,Get ready for  &lt;#&gt;  inches of pleasure...,0
1025,I have a sore throat. It's scratches when I talk,0
4251,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",0
2519,Ok. I only ask abt e movie. U wan ktv oso?,0
4993,My drive can only be read. I need to write,0
3827,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,0
2351,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",1
1084,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,0
1330,"Aight no rush, I'll ask jay",0
233,Yes:)here tv is always available in work place..,0
3425,Sure but since my parents will be working on Tuesday I don't really need a cover story,0
2477,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",0
1319,Correct. So how was work today,0
5465,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway,0
4651,Where r e meeting tmr?,0
1244,Now? I'm going out 4 dinner soon..,0
1421,Do you work all this week ?,0
4371,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",1
1617,Did u download the fring app?,0
1002,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
1718,"As in missionary hook up, doggy hook up, standing...|",0
746,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",0
5044,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",0
438,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0
1615,Mm i had my food da from out,0
4246,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,1
4854,Same to u...,0
3262,So u gonna get deus ex?,0
811,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,0
4155,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",0
4578,No plans yet. What are you doing ?,0
2770,No problem. Talk to you later,0
149,Sindu got job in birla soft ..,0
586,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",0
5222,5 nights...We nt staying at port step liao...Too ex,0
437,How long does applebees fucking take,0
5293,I donno its in your genes or something,0
12,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
5283,"Yeah, probably here for a while",0
183,"He will, you guys close?",0
1485,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",0
642,Probably gonna swing by in a wee bit,0
4705,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,0
2244,No management puzzeles.,0
1071,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,1
1220,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
2549,Yup but not studying surfing lor. I'm in e lazy mode today.,0
3752,Ya that one is slow as poo,0
2228,Those were my exact intentions,0
1315,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",0
5141,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1
4584,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,1
2826,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",0
1498,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",0
2642,"They can try! They can get lost, in fact. Tee hee",0
1894,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",1
653,Fine i miss you very much.,0
429,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,0
4385,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",0
1168,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,0
1702,I have lost 10 kilos as of today!,0
1183,Am i that much bad to avoid like this?,0
4526,Understand. his loss is my gain :) so do you work? School?,0
5451,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,0
915,I could ask carlos if we could get more if anybody else can chip in,0
1536,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,0
259,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,0
63,"Sorry my roommates took forever, it ok if I come by now?",0
5410,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",0
2865,Smith waste da.i wanna gayle.,0
4336,on a Tuesday night r u 4 real,0
4909,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,0
3733,"4 tacos + 1 rajas burrito, right?",0
2087,\alright babe,0
3378,Dear umma she called me now :-),0
4003,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,0
1544,After completed degree. There is no use in joining finance.,0
2886,K I'll take care of it,0
2819,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,1
721,S'fine. Anytime. All the best with it.,0
693,Will purchase d stuff today and mail to you. Do you have a po box number?,0
1209,His bday real is in april .,0
5230,"Nope, I'm still in the market",0
4955,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",0
287,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
4024, &lt;#&gt;  in mca. But not conform.,0
3857,R u still working now?,0
5161,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,0
5453,Except theres a chick with huge boobs.,0
3317,I'm freezing and craving ice. Fml,0
1755,Really good:)dhanush rocks once again:),0
2585,I will be outside office take all from there,0
561,Thanx 4 e brownie it's v nice...,0
2458,"Cool, I'll text you when I'm on the way",0
5109,Oh you got many responsibilities.,0
1543,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",1
4581,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),0
5380,Its sunny in california. The weather's just cool,0
1436,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",0
969,"It wont b until 2.15 as trying 2 sort house out, is that ok?",0
2615,2marrow only. Wed at  &lt;#&gt;  to 2 aha.,0
2951,Tell me whos this pls:-),0
2273,Cold. Dont be sad dear,0
2594,"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",0
210,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0
47,"Fair enough, anything going on?",0
3163,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0
2153,I dont have i shall buy one dear,0
911,I am sorry it hurt you.,0
1743,I love to wine and dine my lady!,0
1176,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",0
2187,Oh god. I'm gonna Google nearby cliffs now.,0
4609,Just glad to be talking to you.,0
2263,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1
1115,So lets make it saturday or monday as per convenience.,0
2834,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",0
4051,"Ya ok, then had dinner?",0
4355,Great. So should i send you my account number.,0
1101,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",0
2879,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",1
1773,"I'm not coming over, do whatever you want",0
2846,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",1
1672,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,1
2646,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",0
5388,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,0
354,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,0
2589,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,1
1892,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,1
932,So do you have samus shoulders yet,0
4640,Havent.,0
2287,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,0
5459,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,0
2029,Thanx but my birthday is over already.,0
5089,What type of stuff do you sing?,0
1654,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",0
414,100 dating service cal;l 09064012103 box334sk38ch,1
1393,Oh ok..,0
4708,"Haha awesome, I might need to take you up on that, what you doin tonight?",0
3214,I want snow. It's just freezing and windy.,0
4618,"Sorry, I'll call later In meeting.",0
3626,Still chance there. If you search hard you will get it..let have a try :),0
2124,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",0
2328,That day you asked about anand number. Why:-),0
3334,"Sorry, got a late start, we're on the way",0
1844,Da is good good player.why he is unsold.,0
1223,Rofl betta invest in some  anti aging products,0
2445,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",0
4129,And by when you're done I mean now,0
252,What you doing?how are you?,0
3753,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,1
654,Did u got that persons story,0
350,"Nah can't help you there, I've never had an iphone",0
5423,"Sorry, I'll call later",0
3740,2/2 146tf150p,1
2201,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",0
4378,How are you. Just checking up on you,0
457,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,0
3434,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",0
978,Hey you can pay. With salary de. Only  &lt;#&gt; .,0
90,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0
798,Ok i msg u b4 i leave my house.,0
3340,Still i have not checked it da. . .,0
5120,PRIVATE! Your 2003 Account Statement for 078,1
3767,Where are you call me.,0
26,Lol your always so convincing.,0
952,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",0
549,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,0
3497,You said to me before i went back to bed that you can't sleep for anything.,0
1477,Why you keeping me away like this,0
181,Lol no. U can trust me.,0
1292,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,0
263,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1
2835,Nice.nice.how is it working?,0
2321,Ok...,0
2640,Pandy joined 4w technologies today.he got job..,0
4841,"Awesome, that gonna be soon or later tonight?",0
4459,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,0
2561,And maybe some pressies,0
3200,Nice.nice.how is it working?,0
2654,Its sarcasm.. .nt scarcasim,0
5149,Pls call me da. What happen.,0
4211,Missed call alert. These numbers called but left no message. 07008009200,1
5054,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,0
3128,"Haha better late than ever, any way I could swing by?",0
4796,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,1
3095,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,0
4845,Pls help me tell Ashley that i cant find her number oh,0
3632,Hui xin is in da lib.,0
2742,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,0
3711,Wat u doing there?,0
5177,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",0
4591,Right it wasnt you who phoned it was someone with a number like yours!,0
1526,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",0
4108,I want to lick your pussy now...,0
1988,"Sorry, I'll call later",0
2486,I dont thnk its a wrong calling between us,0
2518,Joy's father is John. Then John is the NAME of Joy's father. Mandan,0
4250,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,0
69,I plane to give on this month end.,0
4080,Hurry home. Soup is DONE!,0
3718,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",1
676,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,0
5469,Ok lor.,0
5470,I thought slide is enough.,0
1890,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,0
2899,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,0
203,Goodmorning sleeping ga.,0
3575,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",0
2669,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,1
339,U calling me right? Call my hand phone...,0
4407,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,0
4092,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng""",0
2121,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),0
479,When're you guys getting back? G said you were thinking about not staying for mcr,0
387,Mm that time you dont like fun,0
1020,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",0
4343,Hi:)did you asked to waheeda fathima about leave?,0
2133,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",0
3891,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,1
1729,Lol yeah at this point I guess not,0
3227,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1
1350,Bugis oso near wat... ,0
4004,", ow u dey.i paid 60,400thousad.i told  u would call . ",0
3082,K..k:)how about your training process?,0
5502,Apo all other are mokka players only,0
3094,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,0
4951,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",1
2603,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",0
3758,"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply",0
4878,Yeah just open chat and click friend lists. Then make the list. Easy as pie,0
2100,Oh Howda gud gud.. Mathe en samachara chikku:-),0
3995,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,0
2436,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,0
221,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0
5055,Goodnight da thangam I really miss u dear.,0
677,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",0
1144,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,0
1374,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",1
1599,"Yeah probably, I still gotta check out with leo",0
805,I dled 3d its very imp,0
61,Ha ha ha good joke. Girls are situation seekers.,0
1090,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,1
3819,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm",0
4005,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,0
3135,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,0
1438,"Arms fine, how's Cardiff and uni? ",0
1652,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",1
4295,Please CALL 08712402578 immediately as there is an urgent message waiting for you,1
4403,"Sorry, I'll call later  &lt;#&gt; mins",0
5140,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,0
177,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0
4470,Wa... U so efficient... Gee... Thanx...,0
2456,Onum ela pa. Normal than.,0
5400,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!ö´Ó_??Û¬ud evening...,0
4039,I'm at home n ready...,0
5446,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,0
4081,No no. I will check all rooms befor activities,0
5457,Arun can u transfr me d amt,0
4516,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",0
2515,Bognor it is! Should be splendid at this time of year.,0
733,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,0
3217,Don know:)this week i'm going to tirunelvai da.,0
4709,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),0
2677,Where in abj are you serving. Are you staying with dad or alone.,0
527,Yes! How is a pretty lady like you single?,0
3616,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,0
1874,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,1
1593,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,1
1425,I'll be at mu in like  &lt;#&gt;  seconds,0
4837,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,0
803,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,1
4950,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,0
1097,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,0
2107,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",0
2473,Ok lor wat time Ì_ finish?,0
4350,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",0
1129,"So check your errors and if you had difficulties, do correction.",0
219,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0
4608,Y de asking like this.,0
582,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1
2750,Ok but tell me half an hr b4 u come i need 2 prepare.,0
43,WHO ARE YOU SEEING?,0
1175,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,0
5420,I dont know oh. Hopefully this month.,0
3901,"Right on brah, see you later",0
4886,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,1
718,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,1
4010,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
670,Ho ho - big belly laugh! See ya tomo,0
3400,Thanks honey. Have a great day.,0
3211,We got a divorce. Lol. She.s here,0
1514,K:)all the best:)congrats...,0
2944,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",0
95,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1
1770,Dont show yourself. How far. Put new pictures up on facebook.,0
842,Our Prashanthettan's mother passed away last night. pray for her and family.,0
1321,"I wake up long ago already... Dunno, what other thing?",0
4666,I send the print  outs da.,0
4629,Everybody had fun this evening. Miss you.,0
2481,K.:)do it at evening da:)urgent:),0
1962,it to 80488. Your 500 free text messages are valid until 31 December 2005.,1
2963,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",1
2348,That seems unnecessarily affectionate,0
322,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,0
4008,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,0
4905,Will you come online today night,0
5063,I dunno lei... Like dun haf...,0
334,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1
2873,Crucify is c not s. You should have told me earlier.,0
3537,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,0
833,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",0
3080,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,0
4810,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,0
3529,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",0
2465,S.i think he is waste for rr..,0
3880,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0
731,No he didn't. Spring is coming early yay!,0
291,Haf u found him? I feel so stupid da v cam was working.,0
184,Going on nothing great.bye,0
2377,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,1
2641,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",1
1407,Then we gotta do it after that,0
533,I'll be late...,0
3904,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,1
